timestamp,pipeline_duration_seconds,sell_threshold,pr_auc_threshold,prediction_threshold,dataset_date,dataset_size,positive_rate,retrain_triggered,champion_model,champion_run_id,champion_pr_auc,champion_f1,champion_precision,champion_recall,champion_log_loss,champion_trained_on,pipeline_status,failed_step
2026-04-05 15:51:41,20,0.8,0.7,0.5,20260405,1714,0.0566,False,lightgbm,8ace6e2c82e648d7b9b2784d07db6286,0.8722,0.7778,0.8235,0.7368,0.1235,2026-04-04,success,
2026-04-05 17:24:09,22,0.8,0.7,0.5,20260405,1761,0.0568,False,lightgbm,8ace6e2c82e648d7b9b2784d07db6286,0.7463,0.5405,0.5882,0.5,0.2264,2026-04-04,success,
2026-04-05 22:08:34,99,0.8,0.7,0.5,20260405,1911,0.0602,True,lightgbm,8ace6e2c82e648d7b9b2784d07db6286,0.6053,0.5,0.5882,0.4348,0.3112,2026-04-04,success,
2026-04-06 15:00:03,82,0.8,0.7,0.5,20260406,2036,0.0639,True,lightgbm,4b61846fcf0943f6af40f9733e833569,0.4747,0.4151,0.4074,0.4231,0.3664,2026-04-06,success,
2026-04-06 18:05:13,21,0.8,0.7,0.5,20260406,2066,0.0653,False,lightgbm,4b61846fcf0943f6af40f9733e833569,0.9247,0.8364,0.8214,0.8519,0.1031,2026-04-06,success,
2026-04-06 18:38:54,23,0.8,0.7,0.5,20260406,2073,0.0661,False,lightgbm,4b61846fcf0943f6af40f9733e833569,0.8428,0.76,0.8261,0.7037,0.1958,2026-04-06,success,
2026-04-06 18:39:46,69,0.8,0.85,0.5,20260406,2073,0.0661,True,lightgbm,4b61846fcf0943f6af40f9733e833569,0.8428,0.76,0.8261,0.7037,0.1958,2026-04-06,success,
2026-04-07 02:00:02,80,0.8,0.85,0.5,20260407,2108,0.0693,True,lightgbm,4b61846fcf0943f6af40f9733e833569,0.7151,0.6531,0.8,0.5517,0.3424,2026-04-06,success,
2026-04-08 02:00:03,83,0.8,0.85,0.5,20260408,2270,0.0828,True,lightgbm,4b61846fcf0943f6af40f9733e833569,0.7489,0.6479,0.697,0.6053,0.3295,2026-04-06,success,
2026-04-09 02:00:03,90,0.8,0.85,0.5,20260409,2702,0.0933,True,lightgbm,4b61846fcf0943f6af40f9733e833569,0.8198,0.7059,0.8571,0.6,0.2779,2026-04-06,success,
2026-04-09 11:37:14,15,0.8,0.85,0.5,,,,False,,,,,,,,,failed,build_features
2026-04-09 11:50:00,37,0.8,0.85,0.5,,,,True,,,,,,,,,failed,train
2026-04-09 11:56:14,95,0.8,0.85,0.5,20260409,2817,0.0937,True,lightgbm,4b61846fcf0943f6af40f9733e833569,0.8198,0.7059,0.8571,0.6,0.2779,2026-04-06,success,
2026-04-09 12:02:11,88,0.8,0.85,0.5,20260409,2822,0.0936,True,lightgbm,0c427b429c594b8e968fb6450d97fce1,0.5232,0.5333,0.5385,0.5283,0.3672,2026-04-09,success,
2026-04-09 12:38:47,29,0.8,0.5,0.5,20260409,2845,0.0931,False,lightgbm,0c427b429c594b8e968fb6450d97fce1,0.9434,0.9,0.9574,0.8491,0.0903,2026-04-09,success,
2026-04-10 02:00:03,35,0.8,0.5,0.5,20260410,3144,0.0922,False,lightgbm,0c427b429c594b8e968fb6450d97fce1,0.9457,0.8718,0.8644,0.8793,0.0813,2026-04-09,success,
2026-04-11 02:00:02,32,0.8,0.5,0.5,20260411,3620,0.0917,False,lightgbm,0c427b429c594b8e968fb6450d97fce1,0.7159,0.6777,0.7455,0.6212,0.4248,2026-04-09,success,
